Run,Efficiency,Epack_Wh_kg,L_over_D,Harvest_kW,SiC_Gain,Range_km
1062,0.827045321362907,431.44275607865,20.796781983619,19.3482161078342,1,4508.28946546067
1063,0.85027281819237,538.017170873418,24.8084193443156,23.0237126370099,1.12661493430826,5776.9965125177
1064,0.928750114014073,298.934103946903,23.2015726003757,19.6632152752659,1,3525.22517932862
1065,0.7,521.468245952186,22.3169115754531,13.7534678914492,1.06997824841129,4591.72943465367
1066,0.98,676.335339134787,18.3901472650741,22.4374836779162,1.17343605905188,8351.07410641421
1067,0.98,485.891021554279,19.7516339698294,10.2359134836113,1.22780476679051,5982.25859968173
1068,0.714931598912768,504.478120522953,28.1369508597678,12.9155012629603,1.2223368152516,4536.04296643085
1069,0.98,452.324776762147,22.5596810669275,19.2625982423041,1,5597.61055416868
1070,0.98,414.572637873528,26.0287505047663,23.3833041828544,1.37026434270365,5147.26172824831
1071,0.955353086378491,352.413493761722,21.5818507767431,35.1515170530594,1.156658249567,4309.23781775618
1072,0.98,416.673658876848,24.0594566124743,13.1954335373803,1,5143.04689584129
1073,0.888789330775503,245.815731750118,19.0246787923245,18.8390040845207,1.10636460248611,2781.21171395175
1074,0.810077747108574,590.615753476557,25.0641616326796,18.4669912757019,1,6025.43758335451
1075,0.92669849352664,377.301904673361,21.266365455473,7.84109086901745,1,4392.36281460697
1076,0.93331311483062,273.26772132335,21.3944660693165,13.5267308821053,1.1893321161449,3225.92837813618
1077,0.931754574993743,559.246543564106,22.8606325511073,12.3637482759361,1.33134020404724,6548.06650600169
1078,0.937256323314849,585.519703757507,28.0862608450931,8.29682407336646,1,6883.10431213059
1079,0.98,614.567070019882,17.9682684256006,30.1311728462544,1.24627277570397,7617.03225591154
1080,0.98,626.285121932372,25.305251509098,16.0016408609712,1.29900277869777,7719.03756780281
1081,0.948232731486205,367.946546424052,19.1036747941666,18.2900015397829,1.48446389729753,4413.2665188143
1082,0.98,413.521289747526,21.3644244595942,22.860437234507,1,5132.84548487665
1083,0.979189710813234,538.422321287524,18.8343519673841,13.4068929359468,1.38869237043867,6629.60363831208
1084,0.88574809272685,622.482566750687,19.7642613718179,21.4072182369231,1,6948.91853636101
1085,0.827753182693917,255.816156961072,22.02398336482,13.5924358210377,1.10511833525501,2680.66152239746
1086,0.918982679186856,554.794632142997,17.6409703724025,25.2474122616796,1,6442.68902175403
1087,0.98,340.789409054967,21.9713538150891,7.30803332235948,1,4196.15587889109
1088,0.920614678438223,324.120034837826,24.8732416803198,23.6531198970835,1.3306759098402,3795.19699869947
1089,0.963520880707846,454.238017945917,18.9930025859725,8.84962321216912,1.0290560417768,5496.42807903193
1090,0.782901079754372,502.144522618565,25.3948290515262,12.6072889135893,1,4943.7293921949
